,qed,MinAbsPartialCharge,NumRadicalElectrons,FpDensityMorgan2,FpDensityMorgan3,FpDensityMorgan1,HeavyAtomMolWt,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MinPartialCharge,ExactMolWt,MolWt,NumValenceElectrons,MinEStateIndex,MinAbsEStateIndex,MaxPartialCharge,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CPSM001,0.758308105954,0.154757631687,0.0,2.23076923077,3.0,1.46153846154,300.462,9.65404320988,0.504590759749,9.65404320988,-0.504590759749,304.91043946,305.502,66.0,0.195,0.195,0.154757631687,2.96687293392,472.36650952,9.42228525188,6.45975721378,9.37318445097,6.19837730276,3.61606902871,5.0727826473,2.5883889585,4.15777976763,1.76898709567,2.90400708737,1.15720671346,2.16975687723,-0.55,1131.06842231,9.02268418071,3.30520846413,1.46156370939,93.6920537323,5.10652739484,5.51670071762,5.74951183328,0.0,0.0,0.0,4.98397852095,0.0,0.0,0.0,11.6009398902,40.7899718325,11.5830677861,8.59281558481,5.10652739484,45.0947354494,0.0,4.98397852095,0.0,0.0,0.0,32.9887603618,0.0,5.74951183328,0.0,0.0,5.74951183328,34.1918105173,10.0905059158,0.0,3.57018227107,0.0,24.395944777,5.02263331374,10.9029249321,0.0,33.12,0.0,5.10652739484,0.0,5.74951183328,14.1095163024,5.38622421446,0.0,18.3295777085,28.6572376955,4.98397852095,11.6009398902,0.0,5.97837901235,0.0,0.0,0.0,0.0,0.0,0.0,0.716481481481,22.8459757118,0.0,13.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,3.1984,61.1348,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPSM002,0.669273143677,0.313673714062,0.0,1.81818181818,2.36363636364,1.22727272727,357.11,11.93002677,0.394491518474,11.93002677,-0.394491518474,366.979646812,368.198,120.0,-3.81761743355,0.00196759259259,0.313673714062,2.9722463789,950.579472984,16.6543360594,11.1831614209,13.5115158939,10.1629210258,5.89378117208,8.49802173736,4.41052177299,7.10249964715,2.84057231767,4.78381331203,1.95562131575,3.38292473202,-1.55,50470.2238479,16.814266658,5.9172525086,2.97582694286,133.891609925,15.0744844367,0.0,0.0,10.0232911534,0.0,11.1185337901,13.8942903594,8.41779698433,0.0,0.0,23.2018797805,6.06636706846,0.0,46.1734618913,13.5243243792,49.9459586438,0.0,9.96795704189,0.0,0.0,23.7126235452,36.8192418542,0.0,0.0,15.4237497814,5.68738627468,0.0,23.2018797805,42.899688975,10.0232911534,0.0,0.0,15.6554414366,10.0452666275,11.0334014352,0.0,123.33,27.748706908,18.0068713525,0.0,33.3108107433,0.0,10.5609851748,6.06636706846,0.0,0.0,9.96795704189,28.3084071753,0.0,8.19877318752,0.0,0.0,0.0,0.0,0.0,0.0,24.6634293903,35.9433529778,0.272727272727,22.0,3.0,8.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,3.0,11.0,4.0,0.0,0.0,0.0,2.0,0.2815,84.485,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPSM003,0.358545319588,0.208667948685,0.0,2.42105263158,3.10526315789,1.57894736842,326.138,8.50902880964,0.355767444349,8.50902880964,-0.355767444349,341.030978612,342.266,102.0,0.532052469136,0.532052469136,0.208667948685,2.22833558794,457.67811914,13.924438963,10.6883314823,13.0908246023,9.27438690768,5.89206734067,7.83976614861,3.50202184319,5.46153045789,2.11832687758,3.81070710194,1.29403837989,2.68891470559,-1.26,18476.8825408,15.7963697858,9.64156216145,6.45340604371,125.583930067,10.633577208,0.0,0.0,12.1527106645,0.0,0.0,4.98397852095,0.0,17.0237765041,4.99240473264,0.0,34.9864152346,35.2647831128,5.69392799485,0.0,33.6513834161,5.26189155474,15.617555729,4.99240473264,12.6765908064,18.8423664186,28.4962252192,0.0,6.19315609578,10.633577208,0.0,0.0,27.6918288473,29.7858995083,5.75285360675,11.4550476505,12.6176651945,27.794701957,0.0,0.0,0.0,73.1,0.0,0.0,0.0,0.0,5.95955456874,34.761867536,0.0,24.1518846168,19.0564713366,36.5399043595,5.26189155474,0.0,1.77798894558,0.0,0.0,0.0,0.0,0.0,0.0,1.03688969594,36.7953272431,0.416666666667,19.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,7.0,6.0,0.0,0.0,0.0,1.0,2.11348,82.8264,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
CPSM004,0.515656704668,0.259579350778,0.0,1.65384615385,2.46153846154,0.884615384615,349.688,12.535912891,0.506381931775,12.535912891,-0.506381931775,363.066220988,363.8,128.0,-0.394326131687,0.085853909465,0.259579350778,1.81701921202,1152.97210973,18.0956473593,13.5698778797,14.3258068257,12.6141935407,7.99504614923,8.37301062224,5.81058299059,6.24701877106,4.0504193646,4.28551646739,2.86093183279,3.03303485675,-3.24,1103930.12998,16.2404598588,6.57732979029,3.02560824063,153.819471353,14.8273688696,17.2485354999,0.0,0.0,5.55926689505,0.0,4.79453718407,0.0,0.0,0.0,41.9327752325,48.0280209709,10.4088575282,11.0801522093,9.84339034864,22.5038648223,0.0,4.98397852095,0.0,0.0,0.0,88.1728422144,0.0,28.3754384832,10.2961298489,0.0,17.2485354999,11.6009398902,10.0905059158,0.0,0.0,0.0,77.5909420056,5.02263331374,22.0298279155,0.0,62.32,5.55926689505,9.90106457891,0.0,11.312963325,32.9880334041,0.0,0.0,42.4645694792,30.3318353423,4.98397852095,16.337802844,0.0,5.95774333349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.1533677776,0.0,26.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,2.0,5.0,3.0,0.0,0.0,0.0,4.0,5.3464,103.1955,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPSM005,0.555485541845,0.277434375968,0.0,2.07142857143,2.82142857143,1.17857142857,354.264,12.2420513401,0.494849205922,12.2420513401,-0.494849205922,379.20082504,379.464,146.0,-0.222178777962,0.222178777962,0.277434375968,1.4656972387,953.509808286,19.7693739457,16.2351231577,16.2351231577,13.6521983432,9.37358592136,9.37358592136,6.60032132496,6.60032132496,4.43953947972,4.43953947972,2.8840428946,2.8840428946,-3.22,2468639.84957,19.5390685814,9.63914730758,5.3889144866,163.803707769,15.0376300788,5.74951183328,0.0,5.94833928099,5.55926689505,0.0,14.762494226,0.0,4.98397852095,0.0,6.06636706846,49.9487547656,42.8134882302,12.8037255361,4.7368629538,5.94833928099,0.0,19.9359140838,0.0,32.6070236914,18.9713425512,75.7245620409,0.0,5.74951183328,15.6129184529,5.94833928099,5.74951183328,0.0,33.590468031,12.8416432459,6.92373719969,35.3564022189,47.6505361728,0.0,0.0,0.0,92.79,0.0,4.79453718407,0.0,5.55926689505,17.9326123956,48.5080405894,0.0,25.7003282561,31.1892054735,25.2527026878,4.7368629538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.6666666667,0.333333333333,28.0,2.0,7.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,2.0,7.0,9.0,0.0,0.0,0.0,3.0,2.90252,108.8544,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
CPSM006,0.573111017536,0.330889373736,0.0,2.2,2.7,1.55,260.164,11.1665454932,0.477880271973,11.1665454932,-0.477880271973,286.189257312,286.372,116.0,-0.927047718779,0.100407218443,0.330889373736,2.87036056934,342.065604867,15.1209558646,12.4644872068,12.4644872068,9.5276057653,7.10280770631,7.10280770631,5.06716009389,5.06716009389,3.63462406709,3.63462406709,2.42749283342,2.42749283342,-0.95,22933.5669396,17.1024934383,8.36200672507,4.55565940862,119.860663521,20.3139207796,0.0,0.0,0.0,0.0,5.96930528795,5.31678860401,4.79453718407,0.0,0.0,13.8474743994,25.3384849756,18.7247429005,24.9805903521,19.3747904865,5.96930528795,0.0,5.31678860401,5.73366747716,57.401553702,13.8406142888,11.6491246369,0.0,0.0,11.0504560812,0.0,0.0,0.0,49.2080614054,14.2682630917,0.0,33.1099392682,11.6491246369,0.0,0.0,0.0,93.81,5.96930528795,4.79453718407,0.0,24.2916144338,18.7247429005,12.8416432459,0.0,13.1858176481,0.0,19.1642630034,20.3139207796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1666666667,0.785714285714,20.0,4.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,6.0,8.0,0.0,0.0,0.0,1.0,0.8643,76.3539,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPSM007,0.516254234359,0.277434375968,0.0,2.0,2.71428571429,1.14285714286,418.169,12.246538268,0.35573029626,12.246538268,-0.35573029626,441.116422488,442.361,146.0,-0.211562710528,0.211562710528,0.277434375968,1.4634227298,984.831269543,19.9325106525,16.127489071,17.7134856102,13.5080403908,9.3608793247,10.1538775943,6.86509272568,7.78076825447,4.52446686737,4.95813702234,2.91771634906,3.36347030875,-2.54,2018771.34068,20.20087768,9.59349651623,5.72649187491,172.557710145,10.300767125,0.0,0.0,5.94833928099,5.55926689505,0.0,14.762494226,0.0,4.98397852095,0.0,6.06636706846,72.2995202864,52.9801357409,0.0,0.0,21.8782831789,0.0,19.9359140838,0.0,39.5307608911,11.8615450099,79.69436598,0.0,0.0,10.8760554991,5.94833928099,0.0,15.9299438979,26.4806704897,12.8416432459,13.8474743994,40.9198537106,46.0568886201,0.0,0.0,0.0,83.56,0.0,4.79453718407,0.0,5.55926689505,17.9326123956,47.2312482719,5.5634514917,12.3936871432,25.2533149082,54.1727508539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00697540629,56.1407038826,0.333333333333,28.0,2.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,2.0,7.0,8.0,0.0,0.0,0.0,3.0,3.96484,114.7394,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
CPSM008,0.442845274405,0.305472654229,0.0,1.69696969697,2.21212121212,1.09090909091,425.286,13.6827785855,0.481159427116,13.6827785855,-0.481159427116,459.242101408,459.558,180.0,-1.15853476487,0.0626729558521,0.305472654229,2.68723077158,969.637803876,24.7063778233,19.8781384714,19.8781384714,15.5438203133,11.1225599844,11.1225599844,8.81267240588,8.81267240588,5.32133392964,5.32133392964,3.84881599741,3.84881599741,-2.61,9958652.47247,26.6407986901,12.0215393149,7.18655775728,194.315977979,20.0564451383,5.81722084105,0.0,0.0,0.0,5.96930528795,9.77851570502,4.39041504767,0.0,0.0,51.9797231494,35.0954492126,30.3514501424,30.9295643578,29.2413973701,12.0453253948,0.0,4.98397852095,0.0,71.1872188769,7.10979754128,58.6734681948,0.0,11.1269029834,0.0,4.39041504767,0.0,0.0,45.5905963102,16.1382821024,5.81722084105,74.88716311,30.3414883807,0.0,17.2029230902,0.0,99.88,24.5980596864,19.3980070214,0.0,24.0738545563,6.60688196451,33.6416619565,18.2087542438,25.318551785,13.8474743994,13.8474743994,14.8273688696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6827785855,70.9838880812,0.461538461538,33.0,3.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,3.0,7.0,11.0,0.0,0.0,0.0,2.0,4.8807,126.4394,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPSM009,0.117387515632,0.407314099188,0.0,1.60416666667,2.20833333333,0.9375,646.56,13.536761361,0.443765203649,13.536761361,-0.443765203649,691.28621154,691.92,256.0,-0.979125408007,0.0806956421474,0.407314099188,1.40983440607,1565.8718086,34.4676800795,27.8732896573,29.5062828192,23.0665910389,16.1214935096,17.8807991321,12.3726864678,14.2332656008,7.959243997,9.90648987666,5.29889848233,6.63084004023,-4.13,42177569836.7,36.7015743708,18.4232214736,11.8358233363,290.143569619,25.3768772875,6.60688196451,5.78324494636,0.0,0.0,12.1243545833,9.77851570502,14.5730528891,0.0,22.6735717559,74.511145084,43.231011098,30.9633059938,45.821642611,24.2270019009,40.5811712855,0.0,25.5014439808,5.91790604616,83.7116905534,7.04767198268,104.456718169,0.0,0.0,10.633577208,9.58907436814,0.0,22.6735717559,63.1173137259,35.5246817541,5.91790604616,66.2363627599,77.7511163003,0.0,0.0,0.0,133.75,24.280888117,19.4901389471,0.0,37.1807907152,25.3043056979,26.7056018688,16.2366956088,37.0155779055,66.0437334551,34.4490086493,4.7368629538,0.0,2.96140035661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.20526631,0.416666666667,48.0,3.0,10.0,0.0,0.0,0.0,2.0,2.0,4.0,9.0,3.0,12.0,17.0,0.0,0.0,0.0,4.0,6.3597,188.9162,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
CPSM010,0.318664329811,0.194627578231,0.0,1.58823529412,2.32352941176,0.882352941176,446.378,13.6465610691,0.507966237065,13.6465610691,-0.507966237065,473.166079344,473.594,174.0,-0.0834430301174,0.0834430301174,0.194627578231,1.38856228112,1288.74278471,23.4929885848,18.8669860873,19.6834826682,16.5805200359,11.6318368909,12.4483334718,8.63778681497,9.68998565629,6.27160243241,7.47323051909,4.44926924192,5.6875643457,-3.35,88638046.1576,22.4426117493,9.87268873048,4.78607274956,202.4046936,14.9499177435,23.8554174644,5.78324494636,0.0,0.0,0.0,9.69444691492,0.0,0.0,11.3367858779,6.42082162293,98.2246453025,32.6349507139,0.0,19.7444549276,27.2061749552,0.0,4.89990973085,0.0,19.2624648688,26.2411511823,77.8569407365,0.0,27.6891341853,4.7368629538,0.0,17.2485354999,11.3367858779,47.1373606491,0.0,0.0,35.1839050362,66.7300377531,0.0,20.5267428163,0.0,70.0,0.0,15.0075919738,0.0,17.2822686129,17.7337849479,45.9105238674,30.5992507467,42.4645694792,24.2654682738,4.89990973085,4.7368629538,0.0,1.45594040309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0440595969,0.25,34.0,2.0,5.0,0.0,1.0,1.0,3.0,1.0,4.0,6.0,2.0,6.0,7.0,0.0,1.0,1.0,5.0,6.0752,136.2511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
