,qed,MinAbsPartialCharge,NumRadicalElectrons,FpDensityMorgan2,FpDensityMorgan3,FpDensityMorgan1,HeavyAtomMolWt,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MinPartialCharge,ExactMolWt,MolWt,NumValenceElectrons,MinEStateIndex,MinAbsEStateIndex,MaxPartialCharge,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CPSM001,0.809004108395,0.206971990716,0.0,0.839160839161,0.890909090909,0.676923076923,0.179199672763,0.588648165357,0.504590759749,0.588648165357,0.495409240251,0.170258268812,0.170523362639,0.0948905109489,0.791721745086,0.0667423742242,0.215594470402,0.666507773774,0.10064756525,0.104418924629,0.0915018790054,0.132770313364,0.106195403708,0.0856045371875,0.120089856507,0.0733134309746,0.115669832568,0.0623308600455,0.0924400965886,0.0520508158531,0.0784103230005,0.639711769416,3.04633965114e-39,0.0981027512575,0.069539328647,0.00129461071198,0.121163793419,0.0314053082373,0.050267373924,0.0646237354112,0.0,0.0,0.0,0.0799624548587,0.0,0.0,0.0,0.0460499504194,0.184553939549,0.107298820059,0.0545286917137,0.0226585561772,0.345722395633,0.0,0.0725455446498,0.0,0.0,0.0,0.218161549904,,0.0720951647157,0.0,0.0,0.1,0.357731020443,0.0300075454798,0.0,0.0324781585872,0.0,0.183016765762,0.5,0.167852935768,,0.0418636398109,0.0,0.0321306695331,0.0,0.0225637710448,0.171735100653,0.0428212808275,0.0,0.144027810067,0.248539859321,0.0392448006815,0.153067283181,,0.677391654244,,,,,,,0.00595754789382,0.108029078449,0.0,0.0975609756098,0.0555555555556,0.04,0.0,0.0,0.0,0.142857142857,0.2,0.25,0.0512820512821,0.0588235294118,0.0689655172414,0.0,0.0,0.0,0.0,0.133333333333,0.56968936474,0.135386643315,0.0,0.0,0.0,0.0,0.0,0.142857142857,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.142857142857,0.0,0.0714285714286,,0.0,0.0,0.0,0.0,0.0,0.0,0.285714285714,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,,,0.0,0.0,0.0,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
CPSM002,0.712181268789,0.419505470114,0.0,0.6391184573,0.647933884298,0.536363636364,0.213784261472,0.727424584512,0.394491518474,0.727424584512,0.605508481526,0.205733237632,0.20633223501,0.173722627737,0.328707364644,0.000673445134029,0.363072470122,0.667714917769,0.202540839802,0.184565401625,0.158408474091,0.191389405451,0.174119039302,0.1395256577,0.201176806101,0.124923451904,0.197592222512,0.100088528636,0.152277921961,0.0879632686198,0.122251586667,0.559647718175,1.359329295e-37,0.182819855654,0.124494951332,0.00263590113278,0.17849834351,0.092708565655,0.0,0.0,0.141399839019,0.0,0.0752337936429,0.222918610301,0.146556102324,0.0,0.0,0.0920999008387,0.0274472349683,0.0,0.293009717709,0.0600097953091,0.382914686214,0.0,0.1450910893,0.0,0.0,0.318679453567,0.243493322608,,0.0,0.104365128547,0.149753908883,0.0,0.242749126311,0.127576791365,0.0592916796142,0.0,0.0,0.117446087229,1.0,0.169861650332,,0.155888970347,0.0778704288309,0.113300642103,0.0,0.130727186711,0.0,0.0839613974426,0.0325791750045,0.0,0.0,0.0784896013631,0.373512061825,,0.70343409484,,,,,,,0.0852240857082,0.145817619927,0.272727272727,0.170731707317,0.166666666667,0.16,0.0,0.0,0.0,0.142857142857,0.2,0.25,0.128205128205,0.176470588235,0.189655172414,0.08,0.0,0.0,0.0,0.133333333333,0.451580993659,0.192469697348,0.0,0.0714285714286,0.0769230769231,0.0,0.0,0.285714285714,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.166666666667,0.0,0.0,0.0,0.0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,,0.0,0.142857142857,0.0,0.0714285714286,,0.0,0.0,0.0,0.0,0.0,0.0,0.285714285714,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
CPSM003,0.374274119696,0.27907134703,0.0,0.931419457735,0.931100478469,0.747368421053,0.194875317087,0.518831756692,0.355767444349,0.518831756692,0.644232555651,0.19090256338,0.191521151714,0.147445255474,0.830614099704,0.182104846164,0.265624559217,0.500595416458,0.0975178964457,0.154312346073,0.151399252587,0.185430351204,0.158895984175,0.139485085537,0.185593678517,0.0991911342495,0.151940302021,0.0746399656958,0.121302091206,0.0582054637562,0.0971715646112,0.582866293034,4.97643279605e-38,0.171752363801,0.202851882746,0.00571623976377,0.166649528944,0.0653968429152,0.0,0.0,0.171439830022,0.0,0.0,0.0799624548587,0.0,0.252794414854,0.0860689699261,0.0,0.158295788699,0.32667249191,0.0361327950317,0.0,0.257991022124,0.243188005021,0.227325234588,0.0454162001621,0.0359240969644,0.253226937236,0.188451478384,,0.0776581772127,0.071952324691,0.0,0.0,0.289725113752,0.0885784857182,0.0340303746243,0.104207243768,0.0434424208588,0.208514017555,0.0,0.0,,0.0923983112976,0.0,0.0,0.0,0.0,0.072537192755,0.276361999163,0.0,0.189777588205,0.165273874456,0.287722199742,0.0694274302167,,0.6281263436,,,,,,,0.00701812771985,0.148275735335,0.416666666667,0.146341463415,0.111111111111,0.1,0.0,0.0,0.0,0.0,0.2,0.125,0.102564102564,0.117647058824,0.120689655172,0.12,0.0,0.0,0.0,0.0666666666667,0.525759804606,0.188415001738,0.0,0.0,0.0,0.0,0.0,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.375,0.166666666667,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.25,0.142857142857,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0606060606061,0.0
CPSM004,0.545128018532,0.347159971328,0.0,0.559440559441,0.685314685315,0.330769230769,0.209253001456,0.764368043933,0.506381931775,0.764368043933,0.493618068225,0.203496562395,0.203820313665,0.185401459854,0.723719629693,0.029385096175,0.312871581867,0.408193224609,0.245664824468,0.200538190813,0.192216097723,0.202923763145,0.216116139771,0.189269679302,0.198217371818,0.164578732885,0.173792662354,0.142717899503,0.136416180904,0.128683868029,0.109607322961,0.424339471577,2.97324729496e-36,0.176580911171,0.13838252651,0.00267999596144,0.206920422694,0.091188796944,0.157166144765,0.0,0.0,0.189388937021,0.0,0.0769230769231,0.0,0.0,0.0,0.166452221861,0.21730244177,0.0964216174476,0.0703129489979,0.0436768465033,0.172527679336,0.0,0.0725455446498,0.0,0.0,0.0,0.583105388199,,0.355809670569,0.0696689800105,0.0,0.3,0.121374563156,0.0300075454798,0.0,0.0,0.0,0.582082120128,0.5,0.339154063072,,0.0787724043785,0.0156008169511,0.0622982722726,0.0,0.0443973543676,0.401516474099,0.0,0.0,0.333672659827,0.263063389745,0.0392448006815,0.215567283181,,0.677149623596,,,,,,,0.00358593015524,0.204127537021,0.0,0.20325203252,0.111111111111,0.08,0.0,0.0,0.0,0.428571428571,0.2,0.5,0.0769230769231,0.117647058824,0.0862068965517,0.06,0.0,0.0,0.0,0.266666666667,0.65666416027,0.238210311238,0.0,0.0,0.0,0.0,0.0,0.142857142857,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333,0.0,0.0,0.0,0.0,0.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.428571428571,0.0,0.0714285714286,,0.0,0.0,0.0,0.0625,0.0,0.0,0.142857142857,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,,,0.0,0.0,0.0,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
CPSM005,0.588440679256,0.371039182115,0.0,0.761904761905,0.822727272727,0.507142857143,0.212046729,0.746450052573,0.494849205922,0.746450052573,0.505150794078,0.212718116852,0.212766820249,0.211678832117,0.743583646548,0.0760448161201,0.32944148065,0.329268770638,0.203165209032,0.219086634805,0.229969056986,0.229969056986,0.233900042503,0.221904360292,0.221904360292,0.186947251602,0.183621573345,0.15642867868,0.141319027801,0.129723396757,0.104223075537,0.425940752602,6.64885988311e-36,0.212446357032,0.20280107587,0.0047733440393,0.22116042326,0.0924819101644,0.0523887149218,0.0,0.0839139763463,0.189388937021,0.0,0.236847986641,0.0,0.0740095438603,0.0,0.0240804542883,0.225992788262,0.39659931674,0.081250481365,0.021018290326,0.0456034187975,0.0,0.290182178599,0.0,0.0924048033653,0.254960277429,0.500782316143,,0.0720951647157,0.105645142356,0.156625032249,0.1,0.0,0.099892662027,0.0759633323426,0.0629856454697,0.121731531275,0.357471173873,0.0,0.0,,0.117286447405,0.0,0.0301676027395,0.0,0.0218171610102,0.218268219032,0.385646112335,0.0,0.201944750478,0.270499230354,0.198844613693,0.0625,,0.607272761829,,,,,,,0.00358593015524,0.220034502173,0.333333333333,0.219512195122,0.111111111111,0.14,0.0,0.0,0.0,0.0,0.6,0.375,0.153846153846,0.117647058824,0.120689655172,0.18,0.0,0.0,0.0,0.2,0.557708870093,0.252044338118,0.0,0.0,0.0,0.0,0.0,0.571428571429,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.166666666667,0.0,0.0,0.0,0.0,0.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0606060606061,0.0
CPSM006,0.607607853163,0.442529597038,0.0,0.824242424242,0.776363636364,0.73,0.154597043264,0.680871876689,0.477880271973,0.680871876689,0.522119728027,0.159558384258,0.159597247281,0.167883211679,0.662249090904,0.0343662366571,0.379049022115,0.644826278579,0.0728842320355,0.167572293615,0.17655833842,0.17655833842,0.163234325889,0.168147389224,0.168147389224,0.143522050873,0.140968880608,0.12806721123,0.115697031625,0.10918790998,0.087724343288,0.607686148919,6.17676463529e-38,0.185953716883,0.175930910294,0.0040352708764,0.158486729562,0.124931268211,0.0,0.0,0.0,0.0,0.0403914302644,0.0853020266749,0.0834741777992,0.0,0.0,0.0549675729345,0.114643796364,0.17345515508,0.158523000604,0.0859693378135,0.0457641563666,0.0,0.0773898449691,0.0521595110476,0.162669838649,0.186007229026,0.077038089881,,0.0,0.074773144388,0.0,0.0,0.0,0.146336878737,0.0844023455903,0.0,0.113996995016,0.0873909633136,0.0,0.0,,0.118575726167,0.0167514963539,0.0301676027395,0.0,0.0953316459356,0.227909698518,0.102092967137,0.0,0.103609830515,0.0,0.150903074445,0.268029719481,,0.607272761829,,,,,,,0.00358593015524,0.183969513063,0.785714285714,0.154471544715,0.222222222222,0.12,0.111111111111,0.0,0.0833333333333,0.0,0.0,0.0,0.128205128205,0.176470588235,0.103448275862,0.16,0.0,0.0,0.0,0.0666666666667,0.47517918306,0.17259200805,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0714285714286,0.0,0.0,0.0,0.0,0.0,0.0833333333333,0.25,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
CPSM007,0.545777814073,0.371039182115,0.0,0.727272727273,0.781818181818,0.485714285714,0.251061842358,0.746723639693,0.35573029626,0.746723639693,0.64426970374,0.248105291631,0.248690493937,0.211678832117,0.744808630481,0.072411269733,0.32944148065,0.328757802391,0.209838901497,0.220894535864,0.228444429845,0.250909927947,0.23143021674,0.221603552337,0.240376493152,0.194446626743,0.216461720328,0.159421123976,0.15782697888,0.131238018783,0.121548545867,0.480384307446,5.43721587519e-36,0.219642141799,0.201840614399,0.0050723602917,0.233645804574,0.0633500501665,0.0,0.0,0.0839139763463,0.189388937021,0.0,0.236847986641,0.0,0.0740095438603,0.0,0.0240804542883,0.327118669049,0.490777241103,0.0,0.0,0.167731607639,0.0,0.290182178599,0.0,0.112025931026,0.159410057475,0.527035457233,,0.0,0.0735930591669,0.156625032249,0.0,0.166666666667,0.0787492649712,0.0759633323426,0.125971290939,0.140886406397,0.345515735233,0.0,0.0,,0.105619738605,0.0,0.0301676027395,0.0,0.0218171610102,0.218268219032,0.37549542417,0.0298782875701,0.0973855288035,0.219018155252,0.42656660752,0.0,,0.607272761829,,,,,,,0.00691910874755,0.204090999162,0.333333333333,0.219512195122,0.111111111111,0.12,0.0,0.0,0.0,0.0,0.6,0.375,0.128205128205,0.117647058824,0.120689655172,0.16,0.0,0.0,0.0,0.2,0.600723332285,0.266431100244,0.0,0.0,0.0,0.0,0.0,0.571428571429,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.166666666667,0.0,0.0,0.0,0.0,0.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0606060606061,0.0
CPSM008,0.465947781314,0.408537418581,0.0,0.580348943985,0.590082644628,0.454545454545,0.255406894573,0.834297333898,0.481159427116,0.834297333898,0.518840572884,0.258464822902,0.258512574742,0.261313868613,0.635537889799,0.0214509839652,0.355461686609,0.603686183761,0.206601615838,0.273799119304,0.281572040724,0.281572040724,0.266308776105,0.263308469015,0.263308469015,0.249609799953,0.245169392954,0.187499005073,0.169388230689,0.173118605694,0.139087889843,0.474779823859,2.68219298678e-35,0.289662764966,0.252924976543,0.00636564427197,0.264678497847,0.12334778471,0.0530056695448,0.0,0.0,0.0,0.0403914302644,0.156885531782,0.0764383030586,0.0,0.0,0.206333598526,0.158789112163,0.28115822574,0.19627427856,0.129749200147,0.0923464504264,0.0,0.0725455446498,0.0,0.201736933266,0.0955502199538,0.388019877657,,0.139524176421,0.0,0.115603509811,0.0,0.0,0.135579117999,0.0954642379726,0.0529196009244,0.257835313157,0.227619841027,0.0,0.264842797917,,0.126248198802,0.069028854661,0.122053776474,0.0,0.0944770544222,0.0804161896735,0.267456198774,0.0977893662595,0.19894487618,0.120097037116,0.109037663478,0.195638033734,,0.607272761829,,,,,,,0.0488771501588,0.246916541281,0.461538461538,0.260162601626,0.166666666667,0.12,0.0,0.0,0.0,0.142857142857,0.2,0.25,0.128205128205,0.176470588235,0.120689655172,0.22,0.0,0.0,0.0,0.133333333333,0.637807473921,0.295033499032,0.2,0.142857142857,0.153846153846,0.0,0.0,0.142857142857,0.0,0.0,0.2,0.2,0.0714285714286,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.142857142857,0.0,0.0,,0.0,0.0,0.0,0.0625,0.0,0.0,0.142857142857,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
CPSM009,0.112022271941,0.544739597244,0.0,0.535353535354,0.588636363636,0.3625,0.390498517969,0.825394041314,0.443765203649,0.825394041314,0.556234796351,0.391087067057,0.391226323656,0.372262773723,0.656239866399,0.0276195833152,0.449973031003,0.316719189633,0.333641741855,0.381975072093,0.394822637028,0.417953838058,0.395194714343,0.381650067989,0.423298759535,0.350443503611,0.395970816387,0.280446660612,0.315342508989,0.238342887161,0.239624224619,0.353082465973,1.13598081998e-31,0.399052582264,0.387611996851,0.0104838287772,0.401352440879,0.156068614088,0.0602009467582,0.06500289104,0.0,0.0,0.0820397012764,0.156885531782,0.253720757862,0.0,0.390891978933,0.295772115818,0.195598404471,0.28682610338,0.290777126437,0.107499449456,0.311118795013,0.0,0.371192639608,0.0538355401709,0.237229940953,0.0947153001471,0.690794054816,,0.0,0.071952324691,0.252488805901,0.0,0.23722171592,0.187700763272,0.210142359104,0.0538355401709,0.228050744952,0.583283737103,0.0,0.0,,0.169059837703,0.0681387848569,0.122633477752,0.0,0.145914796471,0.307993370775,0.212313493044,0.0871985064149,0.290856271151,0.572787244757,0.271258086775,0.0625,,0.642006276144,,,,,,,0.00358593015524,0.351422430192,0.416666666667,0.382113821138,0.166666666667,0.2,0.0,0.0,0.0,0.285714285714,0.4,0.5,0.230769230769,0.176470588235,0.206896551724,0.34,0.0,0.0,0.0,0.266666666667,0.697693750731,0.447767374979,0.0,0.0714285714286,0.0769230769231,0.0,0.0,0.285714285714,0.0,0.0,0.0,0.0,0.214285714286,0.214285714286,0.0,0.0,0.0,0.375,0.166666666667,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.230769230769,0.0,0.0,0.0,0.0,,0.0,0.285714285714,0.0,0.0,,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.166666666667,0.166666666667,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0
CPSM010,0.330904744591,0.260293834143,0.0,0.527629233512,0.632620320856,0.329411764706,0.268283927214,0.832088997547,0.507966237065,0.832088997547,0.492033762935,0.266422918457,0.266529247777,0.252554744526,0.759592311066,0.0285599279102,0.252594753051,0.31194040842,0.27459360666,0.260352190448,0.267249158292,0.278814758807,0.284070319199,0.275364769251,0.294693994266,0.244656347089,0.269576331863,0.220982037932,0.237887212472,0.200126815113,0.205536280176,0.415532425941,2.38731441249e-34,0.244016294255,0.2077146279,0.00423936432607,0.276215015034,0.0919424764725,0.217367091524,0.06500289104,0.0,0.0,0.0,0.155536740489,0.0,0.0,0.195445989466,0.0254874622388,0.444416714134,0.302311250263,0.0,0.0876096036647,0.208578316023,0.0,0.0713218603703,0.0,0.0545877567783,0.35266092357,0.514884181024,,0.347203857963,0.0320520831891,0.0,0.3,0.11861085796,0.140178946951,0.0,0.0,0.121137626215,0.500604334056,0.0,0.316013736217,,0.0884799150593,0.0,0.0944289418057,0.0,0.0678236976329,0.215848174927,0.364995469402,0.164332018461,0.333672659827,0.210450711796,0.0385828269397,0.0625,,0.624349117857,,,,,,,0.00358593015524,0.255745745472,0.25,0.268292682927,0.111111111111,0.1,0.0,0.1,0.0833333333333,0.428571428571,0.2,0.5,0.153846153846,0.117647058824,0.103448275862,0.14,0.0,0.125,0.1,0.333333333333,0.68617404434,0.319019666227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0714285714286,0.0714285714286,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.428571428571,0.0,0.0714285714286,,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.166666666667,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,,,0.25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,0.0,0.0
