,logBB
CPSM001,-2.4
CPSM002,-2.15
CPSM003,-2.15
CPSM004,-2.03
CPSM005,-2
CPSM006,-1.96
CPSM007,-1.88
CPSM008,-1.82
CPSM009,-1.82
CPSM010,-1.81
CPSM011,-1.74
CPSM012,-1.72
CPSM013,-1.68
CPSM014,-1.6
CPSM015,-1.57
CPSM016,-1.54
CPSM017,-1.52
CPSM018,-1.52
CPSM019,-1.52
CPSM020,-1.51
CPSM021,-1.5
CPSM022,-1.48
CPSM023,-1.42
CPSM024,-1.4
CPSM025,-1.39
CPSM026,-1.36
CPSM027,-1.35
CPSM028,-1.3
CPSM029,-1.3
CPSM030,-1.3
CPSM031,-1.3
CPSM032,-1.3
CPSM033,-1.3
CPSM034,-1.3
CPSM035,-1.3
CPSM036,-1.26
CPSM037,-1.23
CPSM038,-1.22
CPSM039,-1.22
CPSM040,-1.19
CPSM041,-1.17
CPSM042,-1.17
CPSM043,-1.14
CPSM044,-1.12
CPSM045,-1.11
CPSM046,-1.1
CPSM047,-1.08
CPSM048,-1.07
CPSM049,-1.06
CPSM050,-1.04
CPSM051,-1
CPSM052,-1
CPSM053,-1
CPSM054,-1
CPSM055,-1
CPSM056,-1
CPSM057,-1
CPSM058,-1
CPSM059,-1
CPSM060,-1
CPSM061,-0.98
CPSM062,-0.93
CPSM063,-0.92
CPSM064,-0.9
CPSM065,-0.9
CPSM066,-0.89
CPSM067,-0.89
CPSM068,-0.85
CPSM069,-0.85
CPSM070,-0.85
CPSM071,-0.82
CPSM072,-0.8
CPSM073,-0.79
CPSM074,-0.73
CPSM075,-0.72
CPSM076,-0.71
CPSM077,-0.71
CPSM078,-0.7
CPSM079,-0.7
CPSM080,-0.67
CPSM081,-0.67
CPSM082,-0.66
CPSM083,-0.66
CPSM084,-0.64
CPSM085,-0.63
CPSM086,-0.61
CPSM087,-0.6
CPSM088,-0.6
CPSM089,-0.6
CPSM090,-0.59
CPSM091,-0.59
CPSM092,-0.57
CPSM093,-0.54
CPSM094,-0.54
CPSM095,-0.52
CPSM096,-0.52
CPSM097,-0.52
CPSM098,-0.52
CPSM099,-0.52
CPSM100,-0.51
CPSM101,-0.5
CPSM102,-0.5
CPSM103,-0.48
CPSM104,-0.47
CPSM105,-0.47
CPSM106,-0.46
CPSM107,-0.46
CPSM108,-0.46
CPSM109,-0.44
CPSM110,-0.43
CPSM111,-0.42
CPSM112,-0.42
CPSM113,-0.41
CPSM114,-0.4
CPSM115,-0.4
CPSM116,-0.4
CPSM117,-0.39
CPSM118,-0.39
CPSM119,-0.38
CPSM120,-0.37
CPSM121,-0.37
CPSM122,-0.37
CPSM123,-0.36
CPSM124,-0.34
CPSM125,-0.34
CPSM126,-0.32
CPSM127,-0.32
CPSM128,-0.31
CPSM129,-0.3
CPSM130,-0.3
CPSM131,-0.3
CPSM132,-0.3
CPSM133,-0.29
CPSM134,-0.29
CPSM135,-0.29
CPSM136,-0.28
CPSM137,-0.27
CPSM138,-0.27
CPSM139,-0.25
CPSM140,-0.24
CPSM141,-0.24
CPSM142,-0.22
CPSM143,-0.22
CPSM144,-0.22
CPSM145,-0.22
CPSM146,-0.22
CPSM147,-0.2
CPSM148,-0.19
CPSM149,-0.18
CPSM150,-0.18
CPSM151,-0.18
CPSM152,-0.17
CPSM153,-0.17
CPSM154,-0.16
CPSM155,-0.16
CPSM156,-0.16
CPSM157,-0.16
CPSM158,-0.15
CPSM159,-0.15
CPSM160,-0.15
CPSM161,-0.14
CPSM162,-0.14
CPSM163,-0.14
CPSM164,-0.14
CPSM165,-0.12
CPSM166,-0.12
CPSM167,-0.11
CPSM168,-0.1
CPSM169,-0.1
CPSM170,-0.1
CPSM171,-0.1
CPSM172,-0.09
CPSM173,-0.07
CPSM174,-0.07
CPSM175,-0.06
CPSM176,-0.05
CPSM177,-0.05
CPSM178,-0.05
CPSM179,-0.05
CPSM180,-0.05
CPSM181,-0.04
CPSM182,-0.04
CPSM183,-0.03
CPSM184,-0.02
CPSM185,-0.02
CPSM186,-0.02
CPSM187,-0.01
CPSM188,-0.01
CPSM189,-0.01
CPSM190,0.02
CPSM191,0.04
CPSM192,0.04
CPSM193,0.04
CPSM194,0.05
CPSM195,0.06
CPSM196,0.06
CPSM197,0.08
CPSM198,0.08
CPSM199,0.08
CPSM200,0.08
CPSM201,0.09
CPSM202,0.09
CPSM203,0.09
CPSM204,0.1
CPSM205,0.1
CPSM206,0.11
CPSM207,0.11
CPSM208,0.11
CPSM209,0.12
CPSM210,0.13
CPSM211,0.13
CPSM212,0.14
CPSM213,0.14
CPSM214,0.15
CPSM215,0.16
CPSM216,0.18
CPSM217,0.18
CPSM218,0.18
CPSM219,0.18
CPSM220,0.2
CPSM221,0.2
CPSM222,0.22
CPSM223,0.23
CPSM224,0.23
CPSM225,0.24
CPSM226,0.25
CPSM227,0.26
CPSM228,0.27
CPSM229,0.29
CPSM230,0.3
CPSM231,0.3
CPSM232,0.3
CPSM233,0.3
CPSM234,0.3
CPSM235,0.3
CPSM236,0.3
CPSM237,0.32
CPSM238,0.32
CPSM239,0.34
CPSM240,0.34
CPSM241,0.35
CPSM242,0.36
CPSM243,0.36
CPSM244,0.36
CPSM245,0.36
CPSM246,0.36
CPSM247,0.37
CPSM248,0.37
CPSM249,0.38
CPSM250,0.39
CPSM251,0.4
CPSM252,0.4
CPSM253,0.41
CPSM254,0.42
CPSM255,0.44
CPSM256,0.44
CPSM257,0.44
CPSM258,0.46
CPSM259,0.48
CPSM260,0.48
CPSM261,0.48
CPSM262,0.49
CPSM263,0.49
CPSM264,0.49
CPSM265,0.5
CPSM266,0.52
