"","x"
"CPSM333",505.009049159142
"CPSM334",508.868209481047
"CPSM335",2067.0275521905
"CPSM336",1517.44572298059
"CPSM337",1058.51805160249
"CPSM338",913.617828490732
"CPSM339",379.570066811427
"CPSM340",1525.55975051821
"CPSM341",1244.09978840895
"CPSM342",1561.27194873574
"CPSM343",804.08943162022
"CPSM344",739.32920765919
"CPSM345",1618.93387619456
"CPSM346",1495.04743414934
"CPSM348",1227.79047115695
"CPSM349",943.814069956642
"CPSM350",902.24122187044
"CPSM351",1360.1319153605
"CPSM352",752.895393049263
"CPSM353",753.239292858593
"CPSM354",4819.56483882401
"CPSM355",3269.57872191731
"CPSM356",953.330545026843
"CPSM357",1267.74134362838
"CPSM358",3298.07064896008
"CPSM359",3575.94922315932
"CPSM360",1120.6060045425
"CPSM361",2616.14565982085
"CPSM362",1334.37728405281
"CPSM363",378.445646155941
"CPSM364",1212.69239590631
"CPSM365",3296.67014501716
"CPSM366",1399.71449954112
"CPSM367",1446.488782096
"CPSM368",437.22634384305
"CPSM369",1393.31579096729
"CPSM370",10464.741997481
"CPSM371",827.749346261323
"CPSM372",283.416332974814
"CPSM373",411.377759839006
"CPSM374",557.339959524361
"CPSM375",1241.84776617209
"CPSM376",2004.75561603554
"CPSM377",776.710252613152
"CPSM378",3693.84734251766
"CPSM379",2745.9292570387
"CPSM380",597.338530800651
"CPSM381",3701.00276592604
"CPSM382",2081.57127012942
"CPSM383",281.807142464553
"CPSM384",3333.58991060404
"CPSM385",1500.01848108032
"CPSM386",1074.96923193344
"CPSM387",2028.24022642252
"CPSM388",1636.47603620231
"CPSM389",1118.11240710465
"CPSM390",514.464416864508
"CPSM391",973.460820663615
"CPSM392",1270.25169562395
"CPSM393",2028.24022642252
"CPSM394",1183.66244031296
"CPSM395",771.417052020289
"CPSM396",780.118404302116
"CPSM397",831.742738141083
"CPSM398",821.069022823345
"CPSM399",329.258041659001
"CPSM400",366.098282998755
"CPSM401",3138.37472281437
"CPSM402",4840.78838108562
"CPSM403",937.159260413995
"CPSM404",442.149739926566
"CPSM405",202.217145025969
"CPSM406",1300.29461701565
"CPSM407",572.406606520932
"CPSM408",3177.7730620001
"CPSM409",2023.92906284599
"CPSM410",2324.05688052412
"CPSM411",1477.97658934027
"CPSM412",1204.89118974675
"CPSM413",945.97358631073
"CPSM414",879.428428200952
"CPSM415",1631.87563092185
"CPSM416",663.947490602764
"CPSM417",378.691548351638
"CPSM418",1034.02043030566
"CPSM419",221.358613657058
"CPSM420",937.159260413995
"CPSM421",1435.1255729272
"CPSM422",2936.11503868364
"CPSM423",277.449472509352
"CPSM424",9016.49384084312
"CPSM425",353.080339852236
"CPSM426",378.003299619158
"CPSM427",503.071964909596
"CPSM428",239.227231488085
"CPSM429",2222.94245160043
"CPSM430",730.515302010978
"CPSM431",388.101581538916
"CPSM432",913.816212613412
"CPSM433",13552.0242050662
"CPSM434",208.843299364737
"CPSM435",506.015592058924
"CPSM436",762.895865557514
"CPSM437",469.347790230597
"CPSM438",1138.16167000084
"CPSM439",3054.1526481647
"CPSM440",847.249252063611
"CPSM441",1460.95263148245
"CPSM442",2090.58217205713
"CPSM443",1375.80703969817
"CPSM444",3760.13902833654
"CPSM445",1125.1110457782
"CPSM446",963.574892139218
"CPSM447",418.717399738882
"CPSM448",1771.74547145973
"KD001",142.686813829065
"KD002",368.036358329123
"KD003",437.665340115832
"KD004",734.897321101652
"KD005",1118.12218456513
"KD006",732.777898239403
"KD007",455.9683585902
"KD008",434.224398572202
"KD009",247.893932736834
"KD010",405.382975260504
"KD011",811.808024101447
"KD012",870.752577676595
"KD013",597.427367861084
"KD014",284.713449432999
"KD015",651.999406255261
"KD016",700.483526459702
"KD017",640.439175475908
"KD018",198.220474741225
"KD019",227.526176387352
"KD020",538.976385861388
"KD021",266.786924136495
"KD022",730.515302010978
"KD023",396.892445643181
"KD024",210.44530866308
"KD025",4746.78033803411
"KD026",412.039086923349
"KD027",691.003431317636
"KD028",248.805841914124
"KD029",489.866826909638
"KD030",266.371378490531
"KD031",283.879713652361
"KD032",434.224398572202
"KD033",1007.37691599333
"KD034",651.999406255261
"KD035",681.798960946702
"KD036",372.271350401467
"KD037",869.624632395776
"KD038",495.531799642455
"KD039",537.220771394401
"KD040",480.815576619235
"KD041",407.624322760824
"KD042",348.173398711815
"KD043",405.416219297434
"KD044",445.47291981158
"KD045",679.517494413743
"KD046",852.155536340685
"KD047",190.565450346863
"KD048",608.512779360892
"KD049",864.608328932802
"MDKI1",507.154239226285
"MDKI2",816.257302468543
"MDKI3",855.169253273023
"MDKI4",641.42815831069
"MDKI5",816.257302468543
"MDKI6",8639.86643417571
"MDKI7",629.575807958625
"MDKI8",499.22084823984
"MDKI9",6036.24190867389
"MDKI10",1672.64833883826
"MDKI11",1268.44730855998
"MDKI12",2852.73904786507
"MDKI13",2612.10894788265
"MDKI14",2528.8260388318
"MDKI15",2301.71921892267
"MDKI16",1380.85636349628
"MDKI17",1646.71586952844
"MDKI18",1512.85330262844
"MDKI19",223.349108595195
"MDKI20",269.149006892227
"MDKI21",473.465853383548
"MDKI22",269.672055697231
"MDKI23",295.487171058231
"MDKI24",166.021192524258
"MDKI25",352.180459016621
"MDKI26",827.838281837741
"MDKI27",228.726187441422
"MDKI28",250.672258505061
"MDKI29",465.941263367949
"MDKI30",357.406132063465
"MDKI31",342.461702582683
"MDKI32",2229.02062089437
"MDKI33",2169.80367257176
"MDKI34",34116.5283779127
"MDKI35",31544.7238807697
"MDKI36",33490.2612170478
"MDKI37",599.507548833047
"MDKI38",643.879686461448
"MDKI39",738.824114691335
"MDKI40",263.897464654137
"MDKI41",263.897464654137
"MDKI42",225.442821348109
"MDKI43",745.715133080527
"MDKI44",500.96459317214
"MDKI45",209.018228052078
"MDKI46",374.259233804124
"MDKI47",170.23727172273
"MDKI48",319.138398905868
"MDKI49",3440.06450000109
"MDKI50",871.421187925136
"MDKI51",791.611323394459
"MDKI52",604.180303174468
"MDKI53",368.979992058075
"MDKI54",368.979992058075
"MDKI55",2781.68114993589
"MDKI56",359.522307152041
"MDKI57",232.58525230494
"MDKI58",179.988687736084
"MDKI59",367.019628368301
"MDKI60",331.674155101811
"MDKI61",186.150136583064
"MDKI62",310.595168540022
"MDKI63",400.008008596484
"MDKI64",400.008008596484
"MDKI65",4843.92294997925
"MDKI66",3981.53623617636
"MDKI67",558.635380689264
"MDKI68",483.908882813505
"MDKI69",341.06256111726
"MDKI70",1490.17338406103
"MDKI71",2222.13947527845
"MDKI72",3165.64420399022
"MDKI73",436.51341420062
"MDKI74",567.351443122235
"MDKI75",538.362149849414
"MDKI76",598.265347011807
"MDKI77",220.025684754644
"MDKI78",460.988612440299
"MDKI79",351.22875828307
"MDKI80",3621.37181223948
"MDKI81",9346.94235473958
"MDKI82",1718.00253903583
"MDKI83",394.948366684763
"MDKI84",392.642000823029
"MDKI85",673.409065607747
"MDKI86",883.279880165657
"MDKI87",749.843917550026
"MDKI88",695.209655465464
"MDKI89",838.928155950428
"MDKI90",698.666180223164
"MDKI91",561.796878855253
"MDKI92",463.657937796605
"MDKI93",714.103886767822
"MDKI94",894.940485303048
"MDKI95",714.103886767822
"MDKI96",1181.59061770807
"MDKI97",982.204682037699
"MDKI98",583.93825128782
"MDKI99",456.774738208906
"MDKI100",1081.61516810976
"MDKI101",1064.21735827768
"MDKI102",513.013162307002
"MDKI103",409.612104961016
"MDKI104",389.606428587349
"MDKI105",72408.7371196495
"MDKI106",72408.7371196495
"MDKI107",66409.0922171756
"MDKI108",76213.3357043864
"MDKI109",81593.0635207403
"MDKI110",616.827628945897
"MDKI111",404.759867129557
"MDKI112",534.772073104202
"MDKI113",355.49929703792
"MDKI114",896.575594529784
"MDKI115",896.575594529784
"MDKI116",776.802332560913
"MDKI117",1670.24608202622
"MDKI118",870.354487210618
"MDKI119",870.354487210618
"MDKI120",1024.16505578135
"MDKI121",1024.16505578135
"MDKI122",1461.34366148208
"MDKI123",484.577382301961
"MDKI124",1922.89359710604
"MDKI125",1787.03926860643
"MDKI126",1938.22992964337
"MDKI127",1582.08139965456
"MDKI128",1235.81940077091
"MDKI129",1307.93386016003
"MDKI130",1055.12833031393
"MDKI131",989.110838373735
"MDKI132",1673.90888928877
"MDKI133",237.171217187887
"MDKI134",548.345238029089
"MDKI135",687.340954429104
"MDKI136",589.48968106665
"MDKI137",590.261618106585
"MDKI138",383.582811051591
"MDKI139",503.700770411141
"MDKI140",459.262423547477
"MDKI141",565.891291040806
"MDKI142",26625.9678247816
"MDKI143",37705.2504150613
"MDKI144",1226.67673130093
"MDKI145",1382.17926797795
"MDKI146",6799.60459365434
"MDKI147",5714.6717568608
"MDKI148",6799.60459365434
"MDKI149",6197.66579081529
"MDKI150",637.386554813723
"MDKI151",642.843970461005
"MDKI152",201.733886185446
"MDKI153",216.500748402579
"MDKI154",227.959977960536
"MDKI155",17976.5385259719
"MDKI156",911.992948359553
"MDKI157",911.766816222398
"MDKI158",2637.56830055863
"MDKI159",786.004830337208
"MDKI160",662.377863098223
"MDKI161",660.122139448117
"MDKI162",469.713424374388
"MDKI163",444.655547459538
"MDKI164",354.959435876557
"MDKI165",1711.95028467984
"MDKI166",1495.10809657021
"MDKI167",2083.16602044677
"MDKI168",2086.82586660218
"MDKI169",1465.99559682881
"MDKI170",1757.22187134418
"MDKI171",2314.52434203187
"MDKI172",1569.09261447091
"MDKI173",2044.18054392727
"MDKI174",2290.66499785841
"MDKI175",11150.9966241165
"MDKI176",11151.6600055339
"MDKI177",1703.29397638128
"MDKI178",285.626012225349
"MDKI179",227.399777495226
"MDKI180",5511.29114266297
"MDKI181",1409.18417947559
"MDKI182",1106.90408862003
"MDKI183",1551.50419541322
"MDKI184",6720.95379278928
"MDKI185",1114.93058806372
"MDKI186",904.568177238401
"MDKI187",743.670102998859
"MDKI188",1948.188071994
"MDKI189",983.794887264507
"MDKI190",739.538636880538
"MDKI191",855.214237578554
"MDKI192",826.029595074603
"MDKI193",1165.11059936231
"MDKI194",700.827135429087
"MDKI195",1023.92495059
"MDKI196",1052.22582518532
"MDKI197",1052.22582518532
"MDKI198",1271.15675771987
"MDKI199",1438.52973783591
"MDKI200",723.585877708991
"MDKI201",1875.73553660021
"MDKI202",1554.86350251216
"MDKI203",1972.65225326362
"MDKI204",1202.75069370031
"MDKI205",1186.66057352273
"MDKI206",1346.81841105014
"MDKI207",1215.60845573941
"MDKI208",1145.66633827745
"MDKI209",1125.39531141428
"MDKI210",1175.49686009517
"MDKI211",3441.72961907657
"MDKI212",3738.82289002201
"MDKI213",3722.07621191549
"MDKI214",4310.79066550625
"MDKI215",33499.1957344061
"MDKI216",3636.43251333858
"MDKI217",4350.88478715038
"MDKI218",2899.6615743881
"MDKI219",22677.6887978439
"MDKI220",939.692344433795
"MDKI221",1090.94957158186
"MDKI222",1076.21468611413
"MDKI223",1085.91956253966
"MDKI224",2334.69437122302
"MDKI225",1304.61414016214
"MDKI226",1096.27552879393
"MDKI227",950.95238952291
"MDKI228",908.03153934882
"MDKI229",765.830896142221
"MDKI230",929.043571838709
"MDKI231",1285.12926341093
"MDKI232",475.913331349433
"MDKI233",435.266703151974
"MDKI234",435.713555279426
"MDKI235",934.978012401623
"MDKI236",509.100063352072
"MDKI237",392.573277731531
"MDKI238",537.349959289612
"MDKI239",494.00543611066
"MDKI240",2690.23869078407
"MDKI241",2150.42674542272
"MDKI242",2848.60816105105
"MDKI243",387.490469947275
"MDKI244",1004.48115848993
"MDKI245",695.787391219614
"MDKI246",601.663136909215
"MDKI247",592.134281056878
"MDKI248",561.61281412864
"MDKI249",1427.88240489154
"MDKI250",1126.65814426939
"MDKI251",968.114673657997
"MDKI252",317.010147064045
"MDKI253",263.420271576193
"MDKI254",2735.2438260025
"MDKI255",746.71143953462
"MDKI256",637.47148364808
"MDKI257",477.077316890903
"MDKI258",270.004244054846
"MDKI259",965.661668215978
"MDKI260",952.273792449316
"MDKI261",1037.33399058445
"MDKI262",1138.87869473318
"MDKI263",1241.70399002099
"MDKI264",352.945359784758
"MDKI265",180.5549742292
"MDKI266",1769.57353397476
"MDKI267",4606.23881422453
"MDKI268",953.839035140348
"MDKI269",793.884826943141
"MDKI270",34081.2971777333
"MDKI271",29875.9915195424
"MDKI272",288.968463822931
"MDKI273",415.363233833378
"MDKI274",1332.78092060653
"MDKI275",554.358453046608
"MDKI276",1253.07326494551
"MDKI277",321.589515368327
"MDKI278",317.232467396983
"MDKI279",2669.3422697531
"MDKI280",2140.17517081533
"MDKI281",167.676871723704
"MDKI282",216.582999812663
"MDKI283",216.582999812663
"MDKI284",209.532994879027
"MDKI285",1187.19315315556
"MDKI286",866.469578228051
"MDKI287",272.169096636175
"MDKI288",896.989590914341
"MDKI289",1344.7431352771
