"","x"
"CPSM001",1512.26311089814
"CPSM002",1050.13962142855
"CPSM003",493.74757033852
"CPSM004",884.440642364651
"CPSM005",1218.8783224806
"CPSM006",861.484390449379
"CPSM007",1175.98253535308
"CPSM008",2378.11710810976
"CPSM009",12817.7771712794
"CPSM010",3991.57746902025
"CPSM011",585.959878885374
"CPSM012",1729.68922238397
"CPSM013",936.034784596132
"CPSM014",3615.11346460305
"CPSM015",656.416672190114
"CPSM016",897.700910273164
"CPSM017",1786.49438713927
"CPSM018",755.198398567495
"CPSM019",3508.05591833299
"CPSM020",381.095608360659
"CPSM021",4471.03816302162
"CPSM022",1060.17349161449
"CPSM023",651.61466176891
"CPSM024",812.637688839015
"CPSM025",6399.31667960345
"CPSM026",6410.05668643809
"CPSM027",644.792766343233
"CPSM028",1831.44851215513
"CPSM029",3680.96959714635
"CPSM030",1912.85535084224
"CPSM031",1034.87406040223
"CPSM032",901.285880256388
"CPSM033",734.391021484456
"CPSM034",4189.74474759605
"CPSM035",911.869839016846
"CPSM036",693.497153929451
"CPSM037",362.51881423074
"CPSM038",3633.38909492937
"CPSM039",1069.66129471484
"CPSM040",1172.80652796782
"CPSM041",1528.01219301105
"CPSM042",1447.65000537337
"CPSM043",3008.84175833318
"CPSM044",327.667314356954
"CPSM045",478.012642538677
"CPSM046",3020.55691904918
"CPSM047",2292.79196263304
"CPSM048",9707.58760595467
"CPSM049",1328.98920692269
"CPSM050",182.208109254627
"CPSM051",2437.15779380067
"CPSM052",255.864564848329
"CPSM053",979.467077816883
"CPSM054",565.22612502366
"CPSM055",608.653439013295
"CPSM056",573.867925987263
"CPSM057",3787.214069904
"CPSM058",7273.86450148106
"CPSM059",1310.4883666306
"CPSM060",1634.60831810959
"CPSM061",628.470271780357
"CPSM062",2255.73568357095
"CPSM063",599.392563746064
"CPSM064",222.188525778959
"CPSM065",3601.13594398627
"CPSM066",2296.41366874105
"CPSM067",488.480133777618
"CPSM068",492.252927149446
"CPSM069",3334.37336651194
"CPSM070",860.073251169476
"CPSM071",1057.0895948727
"CPSM072",2030.5020766626
"CPSM073",4689.79347639796
"CPSM074",466.720757109623
"CPSM075",552.474613462383
"CPSM076",3155.72319234159
"CPSM077",2127.7877279203
"CPSM078",3785.82962810241
"CPSM079",781.895369053974
"CPSM080",3029.04809406692
"CPSM081",429.552541331912
"CPSM082",480.54228597524
"CPSM083",1397.68363988969
"CPSM084",16573.8366499641
"CPSM085",4959.97433788311
"CPSM086",539.725561222141
"CPSM087",5672.03670127157
"CPSM088",2941.94898330315
